time, dist, vel, acc, Sf, vmin, vmax, tmin, tmax, req_vel, req_acc, T, C0, C1, C2, C3, C4, C5, Fasullo;
0.049, -6.7331e-11, -8.83774e-08, -1.76755e-06, 160, 1, 50, 9.951, 34.951, -nan, 0.060433, 4.42683e-321, 0, -8.83774e-08, -1.76755e-06, 1.21782, -0.367144, 0.0368951, 1;
0.099, 7.88634e-06, 0.000493288, 0.00986752, 160, 1, 50, 9.901, 34.901, -nan, 0.121483, 4.42683e-321, 0, 0.000493288, 0.00986752, 1.2303, -0.373083, 0.0376814, 2;
0.149, 7.1797e-05, 0.00275511, 0.0452365, 160, 1, 50, 9.851, 34.851, -nan, 0.18238, 4.42683e-321, 0, 0.00275511, 0.0452365, 1.2273, -0.375157, 0.0380832, 3;
0.199, 0.000294515, 0.00876668, 0.120231, 160, 1, 50, 9.801, 34.801, -nan, 0.241898, 4.42683e-321, 0, 0.00876668, 0.120231, 1.19961, -0.370945, 0.0378477, 4;
0.249, 0.000792062, 0.0252996, 0.330659, 159.999, 1, 50, 9.751, 34.751, -nan, 0.29581, 4.42683e-321, 0, 0.0252996, 0.330659, 1.08683, -0.344808, 0.0353613, 5;
0.299, 0.00150554, 0.0320277, 0.134561, 159.998, 1, 50, 9.701, 34.701, -nan, 0.356635, 4.42683e-321, 0, 0.0320277, 0.134561, 1.22606, -0.383444, 0.0395262, 6;
0.349, 0.00320581, 0.0949536, 1.25852, 159.997, 1, 50, 9.651, 34.651, -nan, 0.383235, 4.42683e-321, 0, 0.0949536, 1.25852, 0.537185, -0.207519, 0.0215023, 7;
0.399, 0.00494107, 0.053709, -0.824891, 159.995, 1, 50, 9.601, 34.601, -nan, 0.475673, 4.42683e-321, 0, 0.053709, -0.824891, 1.86259, -0.555153, 0.0578224, 8;
0.449, 0.00680092, 0.0440037, -0.194106, 159.993, 1, 50, 9.551, 34.551, -nan, 0.549692, 4.42683e-321, 0, 0.0440037, -0.194106, 1.49191, -0.462229, 0.0483958, 9;
0.499, 0.00964106, 0.0688608, 0.497142, 159.99, 1, 50, 9.501, 34.501, -nan, 0.602929, 4.42683e-321, 0, 0.0688608, 0.497142, 1.07362, -0.355523, 0.0374196, 10;
